N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"64,800",500,-0.77%,100,"3,868,419","5,969,783",51.52,"8,982,300",8.04,17.07,
2,LG에너지솔루션,"597,000","6,000",+1.02%,500,"1,396,980","234,000",5.40,"146,978",180.64,5.75,
3,SK하이닉스,"87,700",800,-0.90%,"5,000","638,458","728,002",49.54,"848,961",28.63,3.56,
4,LG화학,"826,000","21,000",+2.61%,"5,000","583,093","70,592",48.44,"203,192",35.04,6.95,
5,삼성바이오로직스,"797,000","15,000",-1.85%,"2,500","567,257","71,174",10.71,"34,179",69.84,11.42,
6,삼성SDI,"771,000","16,000",+2.12%,"5,000","530,175","68,765",49.44,"170,521",27.80,12.52,
7,삼성전자우,"55,300",400,-0.72%,100,"455,056","822,887",71.67,"389,833",6.86,N/A,
8,현대차,"191,200","3,800",-1.95%,"5,000","404,448","211,532",31.26,"624,998",7.19,9.36,
9,POSCO홀딩스,"425,000","1,500",+0.35%,"5,000","359,428","84,571",41.54,"1,460,032",11.66,6.11,
10,기아,"82,800","1,700",-2.01%,"5,000","335,641","405,363",36.99,"1,453,291",6.20,14.57,
11,NAVER,"192,100","4,900",-2.49%,100,"315,138","164,049",47.54,"663,670",41.45,3.29,
12,포스코퓨처엠,"399,000","14,500",+3.77%,500,"309,078","77,463",8.45,"1,607,009",261.30,4.87,
13,카카오,"59,100","1,000",-1.66%,100,"263,383","445,657",26.17,"1,080,483",19.46,13.54,
14,셀트리온,"172,300","3,200",-1.82%,"1,000","242,632","140,819",20.33,"325,821",46.86,13.35,
15,현대모비스,"226,000","2,000",-0.88%,"5,000","213,084","94,285",36.75,"126,800",8.59,6.80,
16,삼성물산,"108,000",500,-0.46%,100,"201,838","186,887",17.60,"105,459",9.96,7.16,
17,KB금융,"48,100",300,-0.62%,"5,000","196,679","408,897",71.67,"488,721",4.50,9.17,
18,LG전자,"112,100",100,-0.09%,"5,000","183,449","163,648",27.97,"449,601",16.94,6.61,
19,신한지주,"35,150",350,-0.99%,"5,000","177,546","505,108",62.41,"542,573",4.02,9.70,
20,SK이노베이션,"190,500","3,000",-1.55%,"5,000","176,147","92,466",23.97,"500,143",11.38,8.49,
21,LG,"91,300","2,900",+3.28%,"5,000","143,616","157,301",35.66,"271,935",7.39,8.48,
22,삼성생명,"64,300",400,-0.62%,500,"128,600","200,000",15.52,"85,197",8.12,5.73,
23,SK,"170,300",300,+0.18%,200,"124,657","73,198",23.33,"96,261",11.58,5.13,
24,하나금융지주,"41,650",150,+0.36%,"5,000","123,244","295,903",70.89,"349,208",3.49,10.06,
25,한국전력,"18,550",380,-2.01%,"5,000","119,084","641,964",14.47,"878,584",-0.49,-46.91,
26,두산에너빌리티,"18,630",670,-3.47%,"5,000","118,917","638,308",13.13,"7,655,371",-14.94,-11.70,
27,KT&G,"85,300","1,000",+1.19%,"5,000","117,110","137,292",44.20,"264,036",11.53,11.00,
28,카카오뱅크,"23,700",100,-0.42%,"5,000","112,994","476,767",13.49,"649,601",42.86,4.68,
29,삼성전기,"148,600","3,200",-2.11%,"5,000","110,995","74,694",30.01,"304,822",11.76,13.76,
30,고려아연,"548,000","8,000",-1.44%,"5,000","108,850","19,863",21.86,"26,136",13.51,9.38,
31,하이브,"261,000","1,000",+0.38%,500,"107,932","41,353",17.19,"163,407",206.32,1.87,
32,HMM,"21,550",200,+0.94%,"5,000","105,388","489,039",11.09,"1,241,464",1.04,64.98,
33,SK텔레콤,"48,100",50,-0.10%,100,"105,259","218,833",44.09,"204,281",11.54,7.97,
34,LG생활건강,"668,000","21,000",+3.25%,"5,000","104,330","15,618",34.93,"42,375",50.03,4.41,
35,삼성화재,"211,000","4,500",+2.18%,500,"99,961","47,375",51.88,"61,135",8.33,9.70,
36,HD현대중공업,"105,300",400,-0.38%,"5,000","93,478","88,773",6.28,"70,178",-26.55,-6.47,
37,크래프톤,"188,100","1,100",-0.58%,100,"92,615","49,237",30.53,"62,599",18.45,10.29,
38,한화솔루션,"53,800","1,500",+2.87%,"5,000","92,478","171,893",24.71,"3,221,179",28.86,4.21,
39,S-Oil,"81,200",300,-0.37%,"2,500","91,417","112,583",79.85,"129,384",4.50,27.20,
40,삼성에스디에스,"117,300",600,-0.51%,500,"90,764","77,378",15.45,"53,205",8.25,14.23,
41,대한항공,"23,100",250,-1.07%,"5,000","85,059","368,221",15.20,"608,225",4.81,21.95,
42,우리금융지주,"11,600",30,+0.26%,"5,000","84,455","728,061",39.83,"967,732",2.69,11.51,
43,엔씨소프트,"372,000","5,000",-1.33%,500,"81,669","21,954",45.32,"88,328",18.74,13.73,
44,KT,"30,850",50,-0.16%,"5,000","80,553","261,112",40.61,"481,578",6.38,7.99,
45,기업은행,"10,070",50,-0.49%,"5,000","80,301","797,426",13.84,"324,750",2.90,9.85,
46,아모레퍼시픽,"136,600","3,300",+2.48%,500,"79,901","58,493",24.86,"129,803",70.16,2.81,
47,카카오페이,"57,600","1,500",-2.54%,500,"77,129","133,905",43.55,"267,788",141.52,3.08,
48,롯데케미칼,"179,000","1,400",-0.78%,"5,000","76,568","42,775",24.05,"61,971",104.74,0.43,
49,메리츠금융지주,"42,900",750,-1.72%,500,"73,612","171,589",12.94,"257,861",5.26,30.32,
50,현대글로비스,"163,700",600,+0.37%,500,"61,388","37,500",46.88,"53,892",5.16,18.78,
